# x y error_dist error_ang_rad delta_f_rad delta_r_rad omega_rads
-1.979067575758436393e-01 1.645817491256965082e-01 5.108585573897209686e-01 3.002952950880404703e+00 7.853981633974482790e-01 -3.926990816987241395e-01 1.520974948031363017e+00
-2.002374966904478248e-01 1.430617096967442270e-01 5.065725886817139534e-01 3.035104463848303791e+00 7.853981633974482790e-01 -3.926990816987241395e-01 1.508214368926583893e+00
-2.029720994148958568e-01 1.150290200865638213e-01 5.020418891613546153e-01 3.077842149467149735e+00 7.853981633974482790e-01 -3.926990816987241395e-01 1.494725154802942768e+00
-2.050639033855545246e-01 9.405700928440569042e-02 5.398513221655589778e-01 3.124940392437305370e+00 7.853981633974482790e-01 -3.926990816987241395e-01 1.607294866255959187e+00
-2.073760780287149941e-01 6.587762680621203626e-02 5.379555889035285698e-01 -3.114926055486587853e+00 6.853981633974483012e-01 -2.926990816987241617e-01 1.267291322622260630e+00
-2.090715433153237934e-01 4.715090804503794392e-02 5.376735786424953201e-01 -3.086207303249766998e+00 5.853981633974483234e-01 -1.926990816987241562e-01 9.712438404395073999e-01
-2.117801816495927247e-01 2.793708605703830450e-02 5.390352415201394853e-01 -3.052073991455869884e+00 4.853981633974483456e-01 -9.269908169872415060e-02 7.041014825472099448e-01
-2.144922881679806048e-01 5.053236730358449946e-03 5.410464989006181780e-01 -3.012539832079608182e+00 3.853981633974483678e-01 7.300918301275854949e-03 4.537780844682316461e-01
-2.165633950455030932e-01 -1.029787714708628454e-02 5.431916301163730587e-01 -2.984697389876290075e+00 2.853981633974483900e-01 1.073009183012758605e-01 2.123517528178925362e-01
-2.186832222091881772e-01 -2.605929685633307305e-02 5.458362503835505475e-01 -2.956176531624091108e+00 1.853981633974483845e-01 2.073009183012758661e-01 -2.616610341288677297e-02
-2.219016425088575772e-01 -4.950680066362830867e-02 5.506622025945092647e-01 -2.913885370742694381e+00 8.539816339744837892e-02 3.073009183012758716e-01 -2.686624842438346539e-01
-2.251954067980627416e-01 -7.323497781147994545e-02 5.565653259627673100e-01 -2.871675804401795151e+00 -1.460183660255162663e-02 3.926990816987241395e-01 -5.024512840945515313e-01
-2.274046182513883851e-01 -8.911507491825015892e-02 5.610576941479897828e-01 -2.843802720469991385e+00 -1.146018366025516322e-01 3.926990816987241395e-01 -6.252187869208305493e-01
-2.306432220375623510e-01 -1.123067473933702376e-01 5.683797032962180085e-01 -2.803765664181202322e+00 -2.146018366025516377e-01 3.926990816987241395e-01 -7.564495600359616434e-01
