x y error lookahead integral_lateral
-3.185957928389878679e-01 -2.017308240605422687e-01 3.770923024815658331e-01 1.815638453722348555e-01 0.000000000000000000e+00
-3.185136083496008519e-01 -2.017320160666214446e-01 3.770235072381913355e-01 1.815535260857286948e-01 0.000000000000000000e+00
-3.184453774091464684e-01 -2.017335901285277067e-01 3.769667091128851011e-01 1.815450063669327707e-01 0.000000000000000000e+00
-3.183947213838354551e-01 -2.017345684739986211e-01 3.769244416623584448e-01 1.815386662493537751e-01 0.000000000000000000e+00
-3.183440656343879960e-01 -2.017363288964670320e-01 3.768825951423799281e-01 1.815323892713569809e-01 0.000000000000000000e+00
-3.182547003337673486e-01 -2.017365949792382374e-01 3.768072558196740030e-01 1.815210883729511115e-01 0.000000000000000000e+00
-3.182072007924777179e-01 -2.017378048474243735e-01 3.767677859648323468e-01 1.815151678947248548e-01 0.000000000000000000e+00
-3.181124987108056579e-01 -2.017382615398066181e-01 3.766880513171817491e-01 1.815032076975772735e-01 0.000000000000000000e+00
-3.180511897729584314e-01 -2.017384608451200934e-01 3.766363841958879077e-01 1.814954576293831834e-01 0.000000000000000000e+00
-3.179277690534054734e-01 -2.017417710248765594e-01 3.765339407165431695e-01 1.814800911074814782e-01 0.000000000000000000e+00
-3.178619865030590796e-01 -2.017441764709696495e-01 3.764796876374881807e-01 1.814719531456232271e-01 0.000000000000000000e+00
-3.178023573865588758e-01 -2.017447109877124611e-01 3.764296305711994917e-01 1.814644445856799237e-01 0.000000000000000000e+00
-3.177432929704483433e-01 -2.017461804125073588e-01 3.763805541453226211e-01 1.814570831217983959e-01 0.000000000000000000e+00
-3.176692143063629681e-01 -2.017482502587404358e-01 3.763191281352640805e-01 1.814478692202896037e-01 0.000000000000000000e+00
-3.176178517280565106e-01 -2.017487516901489975e-01 3.762760403545236110e-01 1.814414060531785444e-01 0.000000000000000000e+00
-3.175412822929825629e-01 -2.017494254497277373e-01 3.762117709875208993e-01 1.814317656481281293e-01 0.000000000000000000e+00
-3.174783891223140753e-01 -2.017499937584532610e-01 3.761589923705604965e-01 1.814238488555840745e-01 0.000000000000000000e+00
-3.173996466696841212e-01 -2.017505160256143903e-01 3.760928162337616731e-01 1.814139224350642399e-01 0.000000000000000000e+00
-3.173453386802319587e-01 -2.017511991585761999e-01 3.760473511992799556e-01 1.814071026798919906e-01 0.000000000000000000e+00
-3.172581802068870083e-01 -2.017531500803067535e-01 3.759748481953445465e-01 1.813962272293016820e-01 0.000000000000000000e+00
-3.171890350394794833e-01 -2.017534665001103900e-01 3.759166732057615534e-01 1.813875009808642302e-01 0.000000000000000000e+00
-3.170960933825316408e-01 -2.017561509169584766e-01 3.758396957098727453e-01 1.813759543564809062e-01 0.000000000000000000e+00
-3.170373758269919851e-01 -2.017566371116226720e-01 3.757904180389068372e-01 1.813685627058360117e-01 0.000000000000000000e+00
-3.169611511695657469e-01 -2.017584040529696865e-01 3.757270617838668336e-01 1.813590592675800306e-01 0.000000000000000000e+00
